SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
515085,RESTILE CER.,XD,Q,5.26,5.33,5.26,5.33,5.33,5.92,2,70,369.00,
515093,MADHAV MARB.,B ,Q,59.50,60.40,58.30,58.35,59.25,58.70,15,1782,105636.00,
515099,VERTICLIND  ,P ,Q,8.00,8.00,8.00,8.00,8.00,7.95,3,3600,28800.00,
515145,HIND.NAT.GLS,B ,Q,117.90,121.00,116.40,118.05,118.00,119.00,18,829,98542.00,
515147,HALDYN GLASS,XC,Q,31.80,32.40,31.60,31.85,31.80,32.10,75,19022,608217.00,
516003,SARDA PLY.  ,XD,Q,146.00,149.40,142.50,147.10,147.20,145.00,61,13167,1932926.00,
516007,MANGALAM TIM,B ,Q,31.00,31.25,30.50,30.70,30.70,31.00,78,11317,347428.00,
516016,SHREYANS IND,B ,Q,110.60,115.70,110.60,114.90,115.70,113.30,39,883,100904.00,
516022,STAR PAPER  ,B ,Q,181.50,183.00,179.20,180.35,180.50,179.15,187,13784,2493015.00,
516030,YASH PAPERS ,XD,Q,22.50,22.80,22.10,22.45,22.45,22.90,68,22589,507930.00,
516064,ARROWGREEN  ,B ,Q,525.00,528.00,510.00,517.90,517.90,523.80,345,8747,4526931.00,
516072,VISHNU CHEM ,B ,Q,334.00,334.00,297.50,298.10,297.50,301.95,158,2185,672061.00,
516078,JUMBO BAG   ,Z ,Q,8.87,8.87,8.87,8.87,8.87,8.45,1,310,2749.00,
516082,N.R.AGARWAL ,XD,Q,233.00,233.00,227.00,230.80,230.05,228.30,126,11539,2661955.00,
516092,PUDMJEE IND ,B ,Q,11.31,11.90,11.31,11.75,11.75,11.36,4,475,5539.00,
516096,SANGAL PAPER,XT,Q,87.75,92.70,87.75,92.70,92.70,88.75,4,197,17321.00,
516098,VENTURA TEXL,XT,Q,6.33,6.33,6.33,6.33,6.33,6.33,1,6,37.00,
516106,SH.KARTHIK P,XT,Q,10.40,10.40,10.40,10.40,10.40,10.01,3,30,312.00,
516108,S.I.PAPER   ,XT,Q,121.00,123.00,120.95,121.00,121.00,118.15,24,3360,407057.00,
516110,SCANDENT    ,XD,Q,15.95,15.95,15.95,15.95,15.95,15.22,70,125100,1995345.00,
517015,VINDHYA TELE,B ,Q,704.75,721.50,696.40,711.90,716.00,702.35,299,7806,5568788.00,
517035,RUTTONSHA IN,XD,Q,44.05,46.00,43.85,44.85,44.85,46.00,11,1560,69546.00,
517041,ADORWELDING ,B ,Q,303.30,310.00,302.00,304.00,304.00,301.45,58,724,222393.00,
517059,SALZER ELEC ,B ,Q,196.75,199.00,192.15,194.60,194.60,198.90,246,14993,2934119.00,
517063,JETINFOTRAN ,XD,Q,51.25,51.25,48.30,49.20,49.20,50.80,25,2364,117062.00,
517080,HIGHGROUND  ,B ,Q,29.80,29.80,28.10,28.35,28.50,29.10,112,16350,467905.00,
517096,APLAB LTD.  ,XT,Q,29.60,29.60,27.00,27.50,27.50,28.40,3,201,5479.00,
517119,PCS TECH    ,XD,Q,32.80,34.70,30.00,30.10,30.10,31.30,76,7995,246985.00,
517140,MOSER BEAR  ,B ,Q,7.83,7.98,7.71,7.84,7.87,7.79,283,129137,1008444.00,
517146,USHA MART.LT,B ,Q,18.85,19.10,18.60,18.85,18.85,18.85,623,147382,2776206.00,
517164,ZENITH COMP.,B ,Q,1.68,1.68,1.68,1.68,1.68,1.72,2,100,168.00,
517166,SPEL SEMICON,XD,Q,18.00,19.65,18.00,19.00,19.00,17.95,262,173066,3329629.00,
517168,SUBROS LTD. ,B ,Q,191.50,194.95,186.60,187.55,186.60,183.35,1185,57293,10868750.00,
517170,KLKELEC     ,XT,Q,8.55,8.55,8.55,8.55,8.55,9.00,1,100,855.00,
517174,HONEYWELL   ,B ,Q,9385.00,9568.00,9385.00,9537.65,9537.65,9430.40,19,213,2016180.00,
517201,SWITCH.TECH.,XD,Q,69.00,69.55,67.95,68.10,69.55,66.00,9,372,25461.00,
517206,LUMAX IND   ,B ,Q,1100.00,1160.00,1100.00,1123.20,1121.00,1101.00,360,2943,3339660.00,
517214,SPICEMOBI   ,B ,Q,17.50,17.80,17.00,17.25,17.50,17.50,51,23900,412292.00,
517224,SUJANA INDUS,B ,Q,1.73,1.73,1.55,1.70,1.70,1.67,88,124063,201071.00,
517228,TREND ELECT ,XD,Q,19.00,21.50,19.00,21.15,21.50,19.45,13,363,7644.00,
517230,PREM.AU.ELEC,B ,Q,11.75,12.00,11.40,11.42,11.99,11.95,12,1413,16469.00,
517236,CALCOM VISIO,XT,Q,4.43,4.43,4.01,4.25,4.25,4.22,9,2913,12901.00,
517238,DYNAVISION  ,P ,Q,65.00,65.00,65.00,65.00,65.00,65.00,2,200,13000.00,
517246,BCC FUBA    ,Z ,Q,10.24,10.24,10.24,10.24,10.24,10.24,6,3997,40929.00,
517258,PRECISION EL,XT,Q,32.80,32.80,32.80,32.80,32.80,32.80,3,275,9020.00,
517271,HBL P SYS   ,B ,Q,40.55,41.30,39.80,40.05,40.05,40.25,341,69562,2799987.00,
517296,PHOENIXLL   ,B ,Q,156.95,161.75,156.00,159.90,161.00,154.80,99,4204,667156.00,
517300,GUJ.IND.POW.,B ,Q,109.90,111.60,109.00,109.65,110.00,109.30,513,23521,2593679.00,
517330,CMI LTD.    ,B ,Q,169.00,169.00,161.80,168.10,168.70,167.35,632,21585,3580044.00,
517334,MOTHERSON SS,A ,Q,334.90,341.65,333.95,340.20,340.20,335.90,1714,109152,36958362.00,
517344,MINDTECK (I),B ,Q,92.10,97.00,92.10,93.25,93.25,94.10,130,9366,887197.00,
517354,HAVELLSINDIA,A ,Q,423.00,425.75,418.20,420.55,420.55,421.75,1083,37698,15888542.00,
517356,ACI INFOCOM ,XT,Q,5.00,5.00,4.90,4.93,4.93,5.15,7,2625,13039.00,
517370,INCAP LTD.  ,XT,Q,31.40,31.40,31.40,31.40,31.40,29.95,7,724,22733.00,
517372,GUJ.INTRUX  ,XD,Q,69.80,69.80,67.00,67.00,67.00,67.00,4,541,36361.00,
517380,IGARSHI MOT ,B ,Q,775.00,778.95,760.00,764.50,763.25,762.40,261,3310,2538444.00,
